epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.751,2.87218,4.22433,3.84649,4e-05,0.00926,2e-05,0,2.82863,4.54321,4.24042,0.000655738,0.000655738,0.000655738
2,274.928,2.03494,2.56917,2.59991,0.62905,0.08333,0.0763,0.0445,2.42477,4.03178,3.57992,0.00130931,0.00130931,0.00130931
3,406.176,1.64526,1.68039,2.1074,0.5719,0.42593,0.47991,0.26236,1.46184,2.83093,2.26697,0.00194969,0.00194969,0.00194969
4,538.206,1.35603,1.24911,1.81188,0.99749,0.98148,0.9878,0.74444,0.9286,1.16671,1.62383,0.0019406,0.0019406,0.0019406
5,670.949,1.11744,0.98931,1.61606,0.99657,0.98148,0.99455,0.73762,0.98441,0.93076,1.69759,0.0019208,0.0019208,0.0019208
6,803.616,0.98701,0.82039,1.48287,1,0.97962,0.99491,0.84139,0.72834,0.69445,1.40506,0.001901,0.001901,0.001901
7,936.865,0.8396,0.67803,1.35884,0.99805,0.98148,0.99482,0.84835,0.69593,0.57296,1.38399,0.0018812,0.0018812,0.0018812
8,1070.47,0.79869,0.63897,1.31168,0.99883,1,0.995,0.87993,0.5886,0.60004,1.24299,0.0018614,0.0018614,0.0018614
9,1202.12,0.74706,0.57774,1.25769,1,0.98873,0.995,0.82955,0.63563,0.54734,1.23808,0.0018416,0.0018416,0.0018416
10,1333.51,0.71616,0.53484,1.22248,0.9976,1,0.995,0.87641,0.53707,0.43156,1.14412,0.0018218,0.0018218,0.0018218
11,1465.65,0.69382,0.52024,1.20216,0.99901,1,0.995,0.89981,0.53166,0.4163,1.14887,0.001802,0.001802,0.001802
12,1597.98,0.65686,0.48008,1.16345,0.99924,1,0.995,0.90287,0.50445,0.40625,1.16106,0.0017822,0.0017822,0.0017822
13,1731.12,0.66447,0.47571,1.1861,0.99399,0.99074,0.995,0.87173,0.60282,0.41506,1.1921,0.0017624,0.0017624,0.0017624
14,1863.39,0.61164,0.43783,1.12392,0.99931,1,0.995,0.93214,0.44762,0.35379,1.08714,0.0017426,0.0017426,0.0017426
15,1996.44,0.59867,0.42355,1.10823,0.99976,1,0.995,0.89025,0.51005,0.40209,1.15061,0.0017228,0.0017228,0.0017228
16,2128.5,0.60518,0.42724,1.11184,0.99932,1,0.995,0.9039,0.48726,0.33984,1.09682,0.001703,0.001703,0.001703
17,2260.4,0.57058,0.42259,1.09197,0.99938,1,0.995,0.90233,0.51435,0.36132,1.13107,0.0016832,0.0016832,0.0016832
18,2392.13,0.57184,0.40321,1.08704,0.99934,1,0.995,0.9214,0.42164,0.33893,1.05184,0.0016634,0.0016634,0.0016634
19,2525.24,0.56948,0.40333,1.08392,0.99908,1,0.995,0.9255,0.44001,0.3383,1.0541,0.0016436,0.0016436,0.0016436
20,2657.67,0.53415,0.38115,1.05552,0.99956,1,0.995,0.92526,0.43982,0.31451,1.07286,0.0016238,0.0016238,0.0016238
