epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7193,0.66306,1.60224,1.09613,0.94675,1,0.98981,0.82898,0.47873,0.88511,1.00255,0.000655738,0.000655738,0.000655738
2,45.6999,0.46721,0.64237,0.95493,0.9962,1,0.995,0.91213,0.37789,0.53742,0.8991,0.00131586,0.00131586,0.00131586
3,67.5796,0.43322,0.46175,0.91621,0.99927,1,0.995,0.92189,0.39031,0.37867,0.88621,0.00196938,0.00196938,0.00196938
4,89.2157,0.44285,0.40048,0.91151,0.99941,1,0.995,0.92787,0.37077,0.31383,0.8587,0.0019703,0.0019703,0.0019703
5,111.281,0.46771,0.38045,0.92126,0.99939,1,0.995,0.89612,0.48269,0.3289,0.89949,0.0019604,0.0019604,0.0019604
6,134.024,0.42857,0.35283,0.89869,0.99939,1,0.995,0.93307,0.37474,0.30144,0.86107,0.0019505,0.0019505,0.0019505
7,155.703,0.41661,0.33935,0.89516,0.99944,1,0.995,0.95103,0.34905,0.27748,0.857,0.0019406,0.0019406,0.0019406
8,177.463,0.42122,0.34314,0.90506,0.99917,1,0.995,0.95646,0.34767,0.28213,0.85395,0.0019307,0.0019307,0.0019307
9,199.214,0.41027,0.33197,0.89937,0.9991,1,0.995,0.9561,0.33824,0.2669,0.85293,0.0019208,0.0019208,0.0019208
10,221.02,0.41204,0.33159,0.88659,0.99945,1,0.995,0.95386,0.31328,0.26119,0.84331,0.0019109,0.0019109,0.0019109
11,242.799,0.40713,0.32957,0.89001,0.99946,1,0.995,0.94782,0.33889,0.25974,0.84552,0.001901,0.001901,0.001901
12,264.638,0.42329,0.33645,0.89176,0.99944,1,0.995,0.93768,0.36859,0.26767,0.85673,0.0018911,0.0018911,0.0018911
13,286.386,0.40127,0.32429,0.89207,0.99911,1,0.995,0.95362,0.32857,0.24675,0.84391,0.0018812,0.0018812,0.0018812
14,308.177,0.40577,0.32018,0.88405,0.9994,1,0.995,0.94627,0.34959,0.25908,0.85211,0.0018713,0.0018713,0.0018713
15,329.936,0.39294,0.31515,0.88571,0.99941,1,0.995,0.94173,0.3808,0.26654,0.85614,0.0018614,0.0018614,0.0018614
16,351.808,0.42003,0.31975,0.89243,0.99944,1,0.995,0.95988,0.31299,0.24652,0.84191,0.0018515,0.0018515,0.0018515
17,373.682,0.39997,0.30821,0.89062,0.99947,1,0.995,0.96014,0.34561,0.23911,0.84978,0.0018416,0.0018416,0.0018416
18,395.388,0.39867,0.31142,0.88649,0.99937,1,0.995,0.96297,0.32111,0.24091,0.84554,0.0018317,0.0018317,0.0018317
19,417.2,0.39632,0.30817,0.88569,0.99945,1,0.995,0.95606,0.31582,0.23583,0.83849,0.0018218,0.0018218,0.0018218
20,438.87,0.38978,0.30532,0.87359,0.99942,1,0.995,0.95774,0.34215,0.2517,0.8443,0.0018119,0.0018119,0.0018119
21,460.633,0.3979,0.30776,0.88158,0.99947,1,0.995,0.96236,0.31928,0.24501,0.83793,0.001802,0.001802,0.001802
22,482.454,0.38109,0.29707,0.87572,0.99948,1,0.995,0.95997,0.33744,0.23479,0.84645,0.0017921,0.0017921,0.0017921
23,504.265,0.36802,0.28908,0.86921,0.99948,1,0.995,0.96108,0.34336,0.24098,0.84967,0.0017822,0.0017822,0.0017822
