epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.219,1.00685,4.61304,1.58772,0.02719,1,0.94588,0.82804,0.54735,2.35456,1.26802,0.000655738,0.000655738,0.000655738
2,207.92,0.61832,1.47372,1.14159,0.99072,0.98827,0.99491,0.90369,0.51343,0.63536,1.23155,0.00131586,0.00131586,0.00131586
3,310.858,0.55411,0.55666,1.07217,1,0.99956,0.995,0.92353,0.43956,0.42875,1.13089,0.00196938,0.00196938,0.00196938
4,412.976,0.55346,0.49127,1.06788,0.99962,1,0.995,0.93206,0.42626,0.43607,1.12211,0.0019703,0.0019703,0.0019703
5,514.812,0.53621,0.46765,1.0713,0.99903,1,0.995,0.93934,0.4142,0.36347,1.08399,0.0019604,0.0019604,0.0019604
6,616.338,0.49193,0.41675,1.03042,0.99843,1,0.995,0.95168,0.39204,0.3479,1.07607,0.0019505,0.0019505,0.0019505
7,719.565,0.51392,0.41445,1.0464,1,0.99979,0.995,0.88155,0.51896,0.37888,1.21276,0.0019406,0.0019406,0.0019406
8,822.706,0.5067,0.41402,1.03832,0.99949,1,0.995,0.93649,0.40284,0.32139,1.07414,0.0019307,0.0019307,0.0019307
9,924.798,0.49069,0.38948,1.02858,0.99982,1,0.995,0.94955,0.36332,0.29829,1.05903,0.0019208,0.0019208,0.0019208
10,1027.13,0.47199,0.37108,1.00169,0.99959,1,0.995,0.92873,0.43733,0.32229,1.11799,0.0019109,0.0019109,0.0019109
11,1129.36,0.48342,0.37262,1.01754,0.99969,1,0.995,0.9515,0.38374,0.31054,1.06741,0.001901,0.001901,0.001901
12,1231.48,0.48693,0.37036,1.01444,1,0.99964,0.995,0.92175,0.43647,0.31252,1.12006,0.0018911,0.0018911,0.0018911
13,1333.55,0.49624,0.37203,1.0396,1,0.99975,0.995,0.9436,0.4267,0.31271,1.07548,0.0018812,0.0018812,0.0018812
14,1435.14,0.46707,0.35635,0.99697,0.99967,1,0.995,0.9478,0.40989,0.30568,1.1047,0.0018713,0.0018713,0.0018713
15,1537.35,0.45986,0.35167,0.9994,1,0.99999,0.995,0.95958,0.39931,0.28831,1.0698,0.0018614,0.0018614,0.0018614
16,1639.19,0.47086,0.35046,0.99812,1,0.99983,0.995,0.93562,0.41518,0.30312,1.11453,0.0018515,0.0018515,0.0018515
17,1741.59,0.47568,0.35105,1.00342,0.99995,1,0.995,0.93356,0.43942,0.28421,1.12607,0.0018416,0.0018416,0.0018416
18,1843.54,0.47499,0.34799,1.00539,0.9998,1,0.995,0.96294,0.35332,0.26011,1.01702,0.0018317,0.0018317,0.0018317
19,1945.4,0.45738,0.33705,0.99286,0.99966,1,0.995,0.95789,0.37263,0.26628,1.05339,0.0018218,0.0018218,0.0018218
20,2047.03,0.42709,0.32213,0.98084,0.99936,1,0.995,0.96035,0.40142,0.2655,1.10235,0.0018119,0.0018119,0.0018119
21,2149.02,0.45315,0.32622,0.99081,0.99963,1,0.995,0.949,0.38494,0.25853,1.0397,0.001802,0.001802,0.001802
22,2251.06,0.43625,0.31893,0.97804,0.9993,1,0.995,0.94483,0.36868,0.26748,1.03486,0.0017921,0.0017921,0.0017921
23,2352.9,0.41473,0.31002,0.96199,0.99954,1,0.995,0.95503,0.3872,0.26492,1.05354,0.0017822,0.0017822,0.0017822
24,2454.56,0.43038,0.3183,0.97778,0.99955,1,0.995,0.94621,0.37929,0.25074,1.04533,0.0017723,0.0017723,0.0017723
25,2556.6,0.41387,0.3098,0.97206,0.99945,1,0.995,0.95101,0.37652,0.26161,1.06572,0.0017624,0.0017624,0.0017624
26,2658.52,0.44738,0.31855,0.98714,0.99948,1,0.995,0.95073,0.37904,0.25328,1.01766,0.0017525,0.0017525,0.0017525
27,2760.39,0.44275,0.31671,0.98391,0.99927,1,0.995,0.95282,0.37432,0.25515,1.0023,0.0017426,0.0017426,0.0017426
28,2861.99,0.44202,0.31654,0.97645,0.99934,1,0.995,0.95532,0.34694,0.25506,1.00417,0.0017327,0.0017327,0.0017327
29,2964.49,0.42772,0.30899,0.97211,0.99946,1,0.995,0.96088,0.33439,0.23991,0.98018,0.0017228,0.0017228,0.0017228
30,3066.62,0.42438,0.30638,0.9767,0.99942,1,0.995,0.9466,0.34486,0.24026,0.99718,0.0017129,0.0017129,0.0017129
31,3168.97,0.42844,0.30901,0.97367,0.99943,1,0.995,0.95485,0.34313,0.25822,1.01239,0.001703,0.001703,0.001703
32,3271.57,0.43082,0.31693,0.96798,0.99941,1,0.995,0.96368,0.3485,0.2517,1.00248,0.0016931,0.0016931,0.0016931
33,3374.37,0.41094,0.30456,0.9608,0.99917,1,0.995,0.95542,0.33938,0.25121,0.99062,0.0016832,0.0016832,0.0016832
34,3476.39,0.42253,0.30264,0.96562,0.99957,1,0.995,0.96219,0.34478,0.23539,0.99334,0.0016733,0.0016733,0.0016733
35,3578.99,0.4203,0.30433,0.97134,0.99916,1,0.995,0.96412,0.3249,0.23496,0.97786,0.0016634,0.0016634,0.0016634
36,3681.17,0.42106,0.3026,0.96562,0.99944,1,0.995,0.93354,0.35604,0.24656,0.98881,0.0016535,0.0016535,0.0016535
37,3783.32,0.4245,0.30362,0.96439,0.99944,1,0.995,0.94729,0.34658,0.22893,0.98028,0.0016436,0.0016436,0.0016436
38,3885.17,0.41215,0.29183,0.96746,0.99941,1,0.995,0.96941,0.34997,0.22506,1.00225,0.0016337,0.0016337,0.0016337
39,3986.57,0.41033,0.29345,0.95618,0.99926,1,0.995,0.96764,0.33815,0.23025,0.98836,0.0016238,0.0016238,0.0016238
40,4087.21,0.41702,0.29485,0.96437,0.99947,1,0.995,0.9706,0.3259,0.22742,0.97652,0.0016139,0.0016139,0.0016139
41,4188.84,0.40897,0.28932,0.94857,0.99946,1,0.995,0.9649,0.32826,0.23861,0.99293,0.001604,0.001604,0.001604
42,4290.18,0.41434,0.29775,0.96747,0.99937,1,0.995,0.95709,0.35998,0.24329,1.01822,0.0015941,0.0015941,0.0015941
43,4391.74,0.40219,0.2881,0.94724,0.99943,1,0.995,0.96333,0.31769,0.22627,0.96906,0.0015842,0.0015842,0.0015842
44,4493.21,0.42127,0.29875,0.95544,0.99899,1,0.995,0.95259,0.32714,0.2346,0.97458,0.0015743,0.0015743,0.0015743
45,4594.61,0.39142,0.28009,0.94474,0.99943,1,0.995,0.96326,0.32062,0.23088,0.9702,0.0015644,0.0015644,0.0015644
46,4696.12,0.40811,0.28356,0.95342,0.99931,1,0.995,0.95791,0.32963,0.22149,0.97115,0.0015545,0.0015545,0.0015545
47,4797.27,0.40961,0.28305,0.9545,0.99902,1,0.995,0.96847,0.33083,0.22104,0.98722,0.0015446,0.0015446,0.0015446
48,4898.67,0.40457,0.28442,0.95759,0.99945,1,0.995,0.96587,0.3271,0.22791,0.99124,0.0015347,0.0015347,0.0015347
49,5000.09,0.40316,0.28312,0.95204,0.99869,1,0.995,0.95838,0.33917,0.22716,0.97725,0.0015248,0.0015248,0.0015248
50,5101.52,0.38969,0.27868,0.93944,0.99944,1,0.995,0.96953,0.31368,0.22063,0.9697,0.0015149,0.0015149,0.0015149
51,5203.3,0.38499,0.27572,0.94251,0.9991,1,0.995,0.96562,0.32741,0.22869,0.97901,0.001505,0.001505,0.001505
52,5304.82,0.39443,0.27683,0.94312,0.99839,1,0.995,0.96319,0.32688,0.22506,0.98101,0.0014951,0.0014951,0.0014951
53,5405.86,0.38962,0.27979,0.9345,0.99934,1,0.995,0.96976,0.31309,0.21581,0.97205,0.0014852,0.0014852,0.0014852
54,5506.74,0.38573,0.27034,0.9352,0.99909,1,0.995,0.9649,0.33943,0.22673,0.9842,0.0014753,0.0014753,0.0014753
55,5607.79,0.39851,0.27574,0.94401,0.99935,1,0.995,0.95434,0.35864,0.22668,1.01761,0.0014654,0.0014654,0.0014654
56,5708.46,0.39473,0.27676,0.94204,0.99917,1,0.995,0.96695,0.32359,0.23178,0.98347,0.0014555,0.0014555,0.0014555
57,5809.96,0.37132,0.27069,0.92685,0.99905,1,0.995,0.96429,0.31329,0.21547,0.97092,0.0014456,0.0014456,0.0014456
